State,Latitude,Longitude,Year,Minimum Wage,CPI Average,Wage equivalent in 2018,Poverty Rate
Alabama,32.806671,-86.79113000000001,1968,1.6,34.78333333,11.55,
Alabama,32.806671,-86.79113000000001,1969,1.6,36.68333333,10.95,
Alabama,32.806671,-86.79113000000001,1970,1.6,38.825,10.36,
Alabama,32.806671,-86.79113000000001,1971,1.6,40.49166667,9.93,
Alabama,32.806671,-86.79113000000001,1972,1.6,41.81666667,9.62,
Alabama,32.806671,-86.79113000000001,1973,1.6,44.4,9.05,
Alabama,32.806671,-86.79113000000001,1974,2.0,49.30833333,10.19,
Alabama,32.806671,-86.79113000000001,1975,2.1,53.81666667,9.81,
Alabama,32.806671,-86.79113000000001,1976,2.3,56.90833333,10.16,
Alabama,32.806671,-86.79113000000001,1977,2.3,60.60833333,9.54,
Alabama,32.806671,-86.79113000000001,1978,2.65,65.23333333,10.21,
Alabama,32.806671,-86.79113000000001,1979,2.9,72.575,10.04,
Alabama,32.806671,-86.79113000000001,1980,3.1,82.40833333,9.45,
Alabama,32.806671,-86.79113000000001,1981,3.35,90.925,9.26,
Alabama,32.806671,-86.79113000000001,1982,3.35,96.5,8.72,
Alabama,32.806671,-86.79113000000001,1983,3.35,99.6,8.45,
Alabama,32.806671,-86.79113000000001,1984,3.35,103.8833333,8.1,
Alabama,32.806671,-86.79113000000001,1985,3.35,107.56666670000001,7.82,
Alabama,32.806671,-86.79113000000001,1986,3.35,109.60833329999998,7.68,
Alabama,32.806671,-86.79113000000001,1987,3.35,113.625,7.41,
Alabama,32.806671,-86.79113000000001,1988,3.35,118.25833329999999,7.11,
Alabama,32.806671,-86.79113000000001,1989,3.35,123.96666670000002,6.79,
Alabama,32.806671,-86.79113000000001,1990,3.8,130.65833329999998,7.3,
Alabama,32.806671,-86.79113000000001,1991,4.25,136.19166669999998,7.84,
Alabama,32.806671,-86.79113000000001,1992,4.25,140.31666669999998,7.61,
Alabama,32.806671,-86.79113000000001,1993,4.25,144.45833330000002,7.39,
Alabama,32.806671,-86.79113000000001,1994,4.25,148.225,7.25,
Alabama,32.806671,-86.79113000000001,1995,4.25,152.3833333,7.01,
Alabama,32.806671,-86.79113000000001,1996,4.75,156.85,7.61,
Alabama,32.806671,-86.79113000000001,1997,5.15,160.5166667,8.06,
Alabama,32.806671,-86.79113000000001,1998,5.15,163.0083333,7.94,15.7
Alabama,32.806671,-86.79113000000001,1999,5.15,166.575,7.77,15.3
Alabama,32.806671,-86.79113000000001,2000,5.15,172.2,7.51,14.6
Alabama,32.806671,-86.79113000000001,2001,5.15,177.06666669999998,7.31,15.7
Alabama,32.806671,-86.79113000000001,2002,5.15,179.875,7.19,15.4
Alabama,32.806671,-86.79113000000001,2003,5.15,183.95833330000002,7.03,15.3
Alabama,32.806671,-86.79113000000001,2004,5.15,188.8833333,6.85,16.1
Alabama,32.806671,-86.79113000000001,2005,5.15,195.29166669999998,6.62,16.9
Alabama,32.806671,-86.79113000000001,2006,5.15,201.5916667,6.42,16.6
Alabama,32.806671,-86.79113000000001,2007,5.85,207.3424167,7.09,16.6
Alabama,32.806671,-86.79113000000001,2008,6.55,215.3025,7.64,15.9
Alabama,32.806671,-86.79113000000001,2009,7.25,214.537,8.49,17.5
Alabama,32.806671,-86.79113000000001,2010,7.25,218.0555,8.35,18.9
Alabama,32.806671,-86.79113000000001,2011,7.25,224.9391667,8.1,19.1
Alabama,32.806671,-86.79113000000001,2012,7.25,229.5939167,7.93,19
Alabama,32.806671,-86.79113000000001,2013,7.25,232.95708330000002,7.82,18.9
Alabama,32.806671,-86.79113000000001,2014,7.25,236.73616669999998,7.69,19.2
Alabama,32.806671,-86.79113000000001,2015,7.25,237.017,7.68,18.5
Alabama,32.806671,-86.79113000000001,2016,7.25,240.0071667,7.59,17.2
Alabama,32.806671,-86.79113000000001,2017,7.25,245.11958330000002,7.43,16.9
Alaska,61.370716,-152.404419,1968,2.10,34.78333333,15.12,
Alaska,61.370716,-152.404419,1969,2.10,36.68333333,14.33,
Alaska,61.370716,-152.404419,1970,2.10,38.825,13.54,
Alaska,61.370716,-152.404419,1971,2.10,40.49166667,12.99,
Alaska,61.370716,-152.404419,1972,2.10,41.81666667,12.57,
Alaska,61.370716,-152.404419,1973,2.10,44.4,11.84,
Alaska,61.370716,-152.404419,1974,2.10,49.30833333,10.66,
Alaska,61.370716,-152.404419,1975,2.10,53.81666667,9.77,
Alaska,61.370716,-152.404419,1976,2.80,56.90833333,12.32,
Alaska,61.370716,-152.404419,1977,2.80,60.60833333,11.57,
Alaska,61.370716,-152.404419,1978,2.80,65.23333333,10.75,
Alaska,61.370716,-152.404419,1979,3.40,72.575,11.73,
Alaska,61.370716,-152.404419,1980,3.60,82.40833333,10.94,
Alaska,61.370716,-152.404419,1981,3.85,90.925,10.6,
Alaska,61.370716,-152.404419,1982,3.85,96.5,9.99,
Alaska,61.370716,-152.404419,1983,3.85,99.6,9.68,
Alaska,61.370716,-152.404419,1984,3.85,103.8833333,9.28,
Alaska,61.370716,-152.404419,1985,3.85,107.56666670000001,8.96,
Alaska,61.370716,-152.404419,1986,3.85,109.60833329999998,8.8,
Alaska,61.370716,-152.404419,1987,3.85,113.625,8.48,
Alaska,61.370716,-152.404419,1988,3.85,118.25833329999999,8.15,
Alaska,61.370716,-152.404419,1989,3.85,123.96666670000002,7.78,
Alaska,61.370716,-152.404419,1990,3.85,130.65833329999998,7.38,
Alaska,61.370716,-152.404419,1991,4.30,136.19166669999998,7.91,
Alaska,61.370716,-152.404419,1992,4.75,140.31666669999998,8.48,
Alaska,61.370716,-152.404419,1993,4.75,144.45833330000002,8.23,
Alaska,61.370716,-152.404419,1994,4.75,148.225,8.02,
Alaska,61.370716,-152.404419,1995,4.75,152.3833333,7.81,
Alaska,61.370716,-152.404419,1996,4.75,156.85,7.58,
Alaska,61.370716,-152.404419,1997,5.25,160.5166667,8.19,
Alaska,61.370716,-152.404419,1998,5.65,163.0083333,8.68,10.8
Alaska,61.370716,-152.404419,1999,5.65,166.575,8.49,8.8
Alaska,61.370716,-152.404419,2000,5.65,172.2,8.22,8.5
Alaska,61.370716,-152.404419,2001,5.65,177.06666669999998,7.99,8.7
Alaska,61.370716,-152.404419,2002,5.65,179.875,7.87,9.3
Alaska,61.370716,-152.404419,2003,7.15,183.95833330000002,9.73,9.8
Alaska,61.370716,-152.404419,2004,7.15,188.8833333,9.48,10
